U_V,U_shunt_V,I_A,P_W,RL_Ohm
0.4624,0.01278,0.02597560975609756,0.01201112195121951,17.30931455399061
0.965,0.0127,0.025813008130081302,0.024909552845528454,36.892251968503935
1.493,0.01258,0.025569105691056908,0.038174674796747965,57.89877901430844
1.843,0.01253,0.025467479674796747,0.046936565040650406,71.87479968076616
2.077,0.01249,0.02538617886178862,0.05272709349593496,81.32417293835067
2.37,0.01244,0.025284552845528455,0.05992439024390244,93.2411189710611
2.398,0.01243,0.025264227642276423,0.060583617886178866,94.42481415929204
2.618,0.01225,0.024898373983739838,0.06518394308943089,104.65542857142856
2.754,0.01187,0.024126016260162603,0.0664430487804878,113.65863184498735
2.774,0.01174,0.02386178861788618,0.06619260162601627,115.76081090289607
2.919,0.01056,0.021463414634146343,0.06265170731707317,135.50686363636365
2.988,0.00939,0.01908536585365854,0.05702707317073172,156.06774440894566
3.031,0.00831,0.016890243902439026,0.05119432926829269,178.96070758122744
3.057,0.00754,0.01532520325203252,0.046849146341463414,198.98333156498674
3.074,0.00689,0.014004065040650408,0.04304849593495935,219.0156923076923
3.091,0.0063,0.012804878048780489,0.03957987804878049,240.90038095238097
3.103,0.00581,0.011808943089430894,0.036643150406504066,262.2749535283993
